index,y_max,y_pred_max
1,50000,68949
2,51000,53257
3,53000,52888
4,55000,67675
5,55000,59743
6,55000,74771
7,56000,86092
8,56000,84138
9,56000,55025
10,57000,59874
11,57000,57186
12,57000,80263
13,57000,56091
14,57000,65634
15,58000,57860
16,58000,69411
17,59000,61635
18,59000,58899
19,60000,59964
20,60000,58782
21,60000,82654
22,60000,87597
23,60000,91524
24,60000,62942
25,61000,62645
26,61000,62652
27,61000,63200
28,61000,83892
29,62000,67897
30,62000,59960
31,62000,62527
32,62000,63483
33,62000,85624
34,62000,96807
35,63000,63184
36,63000,62794
37,63000,81373
38,63000,73407
39,63000,63915
40,64000,68293
41,64000,71562
42,64000,64840
43,64000,79937
44,64000,78895
45,65000,64909
46,65000,66131
47,65000,90127
48,65000,64148
49,65000,66723
50,65000,64376
51,65000,63236
52,65000,65532
53,66000,98705
54,66000,118622
55,66000,78101
56,66000,65624
57,66000,66849
58,66000,103968
59,66000,66902
60,66000,65496
61,67000,78976
62,67000,66848
63,67000,68310
64,67000,93878
65,67000,82340
66,67000,71575
67,67000,66913
68,67000,67065
69,68000,81373
70,68000,83892
71,68000,79810
72,68000,81373
73,68000,92095
74,68000,80143
75,68000,67529
76,68000,88324
77,69000,100151
78,69000,68250
79,69000,69152
80,69000,85580
81,69000,80093
82,70000,78506
83,70000,90834
84,70000,70829
85,70000,89507
86,70000,70087
87,70000,70786
88,70000,75066
89,70000,79265
90,70000,70064
91,70000,85580
92,70000,74260
93,71000,77902
94,71000,82972
95,71000,71027
96,71000,89507
97,71000,74520
98,71000,92177
99,71000,94093
100,71000,80186
101,71000,80093
102,71000,70986
103,71000,77569
104,71000,82594
105,71000,77932
106,72000,83209
107,72000,83892
108,72000,75138
109,72000,72513
110,72000,72048
111,72000,100924
112,72000,85366
113,72000,80093
114,72000,82654
115,73000,71656
116,73000,79828
117,73000,69502
118,73000,93273
119,73000,75223
120,73000,81677
121,73000,82972
122,73000,76193
123,73000,71958
124,73000,75774
125,73000,72246
126,73000,79769
127,73000,78902
128,73000,76511
129,73000,101947
130,73000,71575
131,73000,62312
132,73000,81373
133,73000,73275
134,73000,75270
135,74000,74034
136,74000,74221
137,74000,78261
138,74000,77772
139,74000,80093
140,74000,88672
141,74000,93273
142,74000,74260
143,74000,73199
144,74000,78101
145,74000,77163
146,74000,90834
147,74000,67927
148,74000,74225
149,74000,83705
150,75000,74969
151,75000,83198
152,75000,75801
153,75000,74925
154,75000,82972
155,75000,75651
156,75000,74822
157,75000,75231
158,75000,75178
159,75000,75006
160,75000,83477
161,75000,86911
162,75000,81677
163,75000,88259
164,76000,74647
165,76000,91931
166,76000,75776
167,76000,75028
168,76000,93878
169,76000,72448
170,76000,92109
171,76000,73217
172,77000,95805
173,77000,83744
174,77000,97067
175,77000,81530
176,77000,77483
177,77000,77310
178,77000,82654
179,77000,74900
180,77000,81116
181,77000,82875
182,77000,55296
183,77000,76270
184,77000,85366
185,77000,93273
186,77000,92109
187,77000,78239
188,77000,74225
189,77000,76996
190,77000,77083
191,77000,80838
192,78000,78106
193,78000,84111
194,78000,81496
195,78000,78150
196,78000,83705
197,78000,77392
198,78000,95540
199,78000,79164
200,78000,84866
201,78000,77630
202,78000,78506
203,78000,78340
204,78000,91474
205,78000,76776
206,78000,83209
207,79000,81373
208,79000,91874
209,79000,80125
210,79000,79151
211,79000,81496
212,79000,79363
213,79000,78101
214,79000,88293
215,79000,79126
216,79000,90771
217,79000,59192
218,79000,79429
219,79000,82170
220,79000,81082
221,79000,95274
222,79000,78702
223,79000,81373
224,79000,81246
225,79000,79876
226,79000,81373
227,79000,79090
228,79000,78174
229,79000,78292
230,79000,94886
231,79000,80582
232,79000,79005
233,79000,79466
234,80000,79280
235,80000,80862
236,80000,80378
237,80000,51919
238,80000,81496
239,80000,80797
240,80000,81504
241,80000,88960
242,80000,84678
243,80000,83070
244,80000,85880
245,80000,86916
246,80000,80451
247,80000,75138
248,80000,83892
249,80000,81735
250,80000,85137
251,80000,80097
252,81000,95249
253,81000,119635
254,81000,86546
255,81000,103968
256,81000,81510
257,81000,81281
258,81000,84922
259,81000,80411
260,81000,81268
261,81000,100080
262,81000,71562
263,81000,78776
264,81000,81144
265,82000,83000
266,82000,61901
267,82000,81496
268,82000,82121
269,82000,95246
270,82000,81533
271,82000,82654
272,82000,82027
273,82000,81971
274,82000,69411
275,82000,89948
276,82000,82492
277,82000,78252
278,83000,82514
279,83000,82654
280,83000,83722
281,83000,81964
282,83000,81016
283,83000,84284
284,83000,99633
285,83000,83047
286,83000,80263
287,83000,82984
288,83000,90177
289,83000,83127
290,83000,81977
291,83000,77692
292,83000,80258
293,84000,87875
294,84000,91585
295,84000,83066
296,84000,84088
297,84000,83574
298,84000,84032
299,84000,84836
300,84000,88267
301,84000,85295
302,84000,52764
303,84000,111267
304,84000,76455
305,84000,76455
306,84000,82654
307,84000,78506
308,84000,83925
309,84000,67982
310,84000,83504
311,84000,80766
312,84000,55201
313,84000,84878
314,84000,92109
315,84000,83767
316,84000,83713
317,84000,85418
318,84000,83299
319,84000,90441
320,84000,113013
321,84000,83907
322,84000,79168
323,84000,83808
324,84000,75755
325,84000,100759
326,85000,84721
327,85000,93878
328,85000,85071
329,85000,83471
330,85000,85247
331,85000,83149
332,85000,80263
333,85000,84922
334,85000,82502
335,85000,84138
336,85000,79678
337,85000,84902
338,85000,77932
339,85000,79828
340,85000,84887
341,85000,95847
342,85000,54790
343,85000,106074
344,85000,84806
345,85000,87749
346,85000,88924
