index,y_min,y_pred_min
1,14000,14045
2,25000,25648
3,27000,27062
4,29000,35224
5,30000,30092
6,30000,38152
7,33000,41268
8,33000,50340
9,33000,34624
10,34000,53690
11,34000,34057
12,34000,46660
13,34000,50069
14,34000,55298
15,35000,36612
16,35000,37394
17,35000,34878
18,35000,34928
19,36000,45962
20,36000,38287
21,36000,36328
22,36000,35348
23,36000,36819
24,36000,35773
25,36000,36978
26,36000,48504
27,37000,37171
28,37000,36636
29,37000,45639
30,37000,40411
31,37000,38047
32,37000,37010
33,37000,37967
34,37000,37088
35,38000,46433
36,38000,37624
37,38000,37871
38,38000,37980
39,38000,38366
40,38000,48504
41,38000,37559
42,38000,38257
43,38000,42581
44,38000,56296
45,38000,40126
46,38000,40323
47,38000,45015
48,38000,38350
49,39000,44998
50,39000,39208
51,39000,66048
52,39000,42407
53,39000,46660
54,39000,52523
55,39000,48298
56,39000,61755
57,39000,43471
58,39000,45032
59,39000,39022
60,39000,49132
61,39000,44765
62,39000,44564
63,39000,46471
64,40000,41209
65,40000,58669
66,40000,48504
67,40000,39021
68,40000,49033
69,40000,40036
70,40000,40613
71,40000,46514
72,40000,40088
73,40000,46213
74,40000,48701
75,41000,51150
76,41000,43939
77,41000,56037
78,41000,44084
79,41000,49376
80,41000,52987
81,41000,40487
82,41000,42583
83,41000,54258
84,41000,54385
85,41000,40939
86,41000,44564
87,41000,46137
88,41000,46660
89,41000,41720
90,41000,44076
91,41000,42597
92,41000,53240
93,41000,41184
94,41000,41949
95,41000,42210
96,41000,40878
97,41000,50073
98,41000,46660
99,42000,42598
100,42000,43091
101,42000,41780
102,42000,46391
103,42000,49603
104,42000,42045
105,42000,53087
106,42000,42427
107,42000,42863
108,42000,53087
109,42000,47670
110,42000,44685
111,42000,42121
112,42000,41741
113,42000,42050
114,43000,49376
115,43000,46514
116,43000,44564
117,43000,42791
118,43000,42995
119,43000,43192
120,43000,60170
121,43000,43050
122,43000,42358
123,43000,52010
124,43000,52010
125,43000,41703
126,43000,43148
127,43000,45775
128,43000,42963
129,43000,42558
130,43000,46270
131,43000,44895
132,43000,47412
133,43000,54515
134,44000,50567
135,44000,59665
136,44000,43889
137,44000,44184
138,44000,46288
139,44000,57671
140,44000,47394
141,44000,48222
142,44000,47856
143,44000,43949
144,44000,44415
145,44000,44202
146,44000,48181
147,44000,48832
148,44000,48672
149,44000,45056
150,44000,44685
151,44000,35352
152,44000,50073
153,44000,46505
154,44000,44121
155,44000,43980
156,44000,49376
157,45000,45550
158,45000,46533
159,45000,44060
160,45000,45026
161,45000,45077
162,45000,59444
163,45000,45462
164,45000,50079
165,45000,50498
166,45000,44685
167,45000,58351
168,45000,50718
169,45000,44610
170,45000,30972
171,45000,46404
172,45000,44980
173,45000,44685
174,45000,44347
175,45000,50073
176,45000,48192
177,45000,44811
178,45000,52862
179,45000,59136
180,45000,44866
181,45000,45009
182,45000,55917
183,46000,46663
184,46000,50381
185,46000,46229
186,46000,50446
187,46000,52523
188,46000,49366
189,46000,50567
190,46000,48989
191,46000,45182
192,46000,48003
193,46000,44388
194,46000,46065
195,46000,44791
196,46000,48832
197,46000,46108
198,46000,46519
199,46000,46514
200,46000,48003
201,46000,40946
202,46000,47146
203,46000,54970
204,46000,53371
205,46000,45838
206,46000,45967
207,46000,53561
208,46000,44765
209,46000,50821
210,46000,59444
211,46000,46045
212,46000,46897
213,46000,42015
214,46000,45722
215,46000,46502
216,46000,46137
217,46000,42358
218,46000,47954
219,46000,50554
220,47000,46095
221,47000,50237
222,47000,45037
223,47000,45935
224,47000,46562
225,47000,52196
226,47000,47137
227,47000,45962
228,47000,47223
229,47000,47074
230,47000,48736
231,47000,41464
232,47000,46969
233,47000,46414
234,47000,48145
235,47000,45805
236,47000,46977
237,47000,47133
238,47000,50318
239,47000,56684
240,47000,48003
241,47000,47054
242,47000,47748
243,47000,53087
244,47000,46960
245,47000,51572
246,47000,44388
247,47000,45921
248,47000,46416
249,47000,49132
250,47000,31625
251,48000,60325
252,48000,53684
253,48000,36434
254,48000,50959
255,48000,46403
256,48000,46403
257,48000,46660
258,48000,46967
259,48000,44076
260,48000,50493
261,48000,48181
262,48000,47822
263,48000,48316
264,48000,46660
265,48000,50073
266,48000,54990
267,48000,51150
268,48000,35284
269,48000,47985
270,48000,48757
271,48000,48191
272,48000,47953
273,48000,48504
274,48000,53844
275,48000,36854
276,48000,48578
277,48000,51572
278,48000,49564
279,48000,48504
280,48000,44249
281,48000,48965
282,48000,48323
283,48000,53211
284,48000,46660
285,48000,48242
286,48000,46480
287,48000,44564
288,48000,48191
289,48000,46213
290,48000,48910
291,48000,50340
292,48000,46480
293,48000,49376
294,48000,48244
295,48000,46949
296,48000,46127
297,49000,49435
298,49000,49052
299,49000,51150
300,49000,48237
301,49000,51802
302,49000,46907
303,49000,49376
304,49000,49134
305,49000,48750
306,49000,45032
307,49000,51077
308,49000,49229
309,49000,17623
310,49000,48897
311,49000,51781
312,49000,46487
313,49000,49428
314,49000,49462
315,49000,49360
316,49000,47442
317,49000,51384
318,49000,48201
319,49000,48763
320,49000,48219
321,49000,49373
322,49000,50554
323,49000,52523
324,49000,48907
325,50000,50025
326,50000,51745
327,50000,58319
328,50000,54990
329,50000,42581
330,50000,43590
331,50000,49376
332,50000,51077
333,50000,34662
334,50000,50069
335,50000,50851
336,50000,49114
337,50000,50441
338,50000,46391
339,50000,51157
340,50000,48092
341,50000,50067
342,50000,44765
343,50000,50677
344,50000,51384
345,50000,46323
346,50000,48509
347,50000,50024
348,50000,58006
349,50000,68723
350,50000,46909
351,50000,54280
352,50000,52115
353,50000,57398
354,50000,54430
355,50000,50567
356,50000,49885
357,50000,52523
358,50000,49149
359,50000,51461
360,50000,50098
361,50000,48192
362,50000,49858
